ABHD12	ENSG00000100997
ADCY1	ENSG00000164742
ADGRV1	ENSG00000164199
AIFM1	ENSG00000156709
ALMS1	ENSG00000116127
ARSG	ENSG00000141337
ATP6V1B1	ENSG00000116039
BCS1L	ENSG00000074582
BDP1	ENSG00000145734
BSND	ENSG00000162399
BTD	ENSG00000169814
CABP2	ENSG00000167791
CACNA1D	ENSG00000157388
CDC14A	ENSG00000079335
CDH23	ENSG00000107736
CEACAM16	ENSG00000213892
CEMIP	ENSG00000103888
CIB2	ENSG00000136425
CISD2	ENSG00000145354
CLDN14	ENSG00000159261
CLDN9	ENSG00000213937
CLIC5	ENSG00000112782
CLPP	ENSG00000125656
CLRN1	ENSG00000163646
CLRN2	ENSG00000249581
COCH	ENSG00000100473
COL11A1	ENSG00000060718
COL11A2	ENSG00000204248
COL4A3	ENSG00000169031
COL4A4	ENSG00000081052
COL4A5	ENSG00000188153
COL4A6	ENSG00000197565
COL9A1	ENSG00000112280
COL9A2	ENSG00000049089
COL9A3	ENSG00000092758
DCDC2	ENSG00000146038
EDN3	ENSG00000124205
EDNRB	ENSG00000136160
ELMOD3	ENSG00000115459
EPS8	ENSG00000151491
EPS8L2	ENSG00000177106
ERAL1	ENSG00000132591
ESPN	ENSG00000187017
ESRP1	ENSG00000104413
ESRRB	ENSG00000119715
FGF3	ENSG00000186895
FGFR3	ENSG00000068078
FOXI1	ENSG00000168269
GAB1	ENSG00000109458
GAS2	ENSG00000148935
GIPC3	ENSG00000179855
GJA1	ENSG00000152661
GJB2	ENSG00000165474
GJB6	ENSG00000121742
GPSM2	ENSG00000121957
GRAP	ENSG00000154016
GRHL2	ENSG00000083307
GRXCR1	ENSG00000215203
GRXCR2	ENSG00000204928
HARS	ENSG00000170445
HARS2	ENSG00000112855
HGF	ENSG00000019991
HSD17B4	ENSG00000133835
ILDR1	ENSG00000145103
KARS	ENSG00000065427
KCNE1	ENSG00000180509
KCNJ10	ENSG00000177807
KCNQ1	ENSG00000053918
LARS2	ENSG00000011376
LHFPL5	ENSG00000197753
LOXHD1	ENSG00000167210
LRP5	ENSG00000162337
LRTOMT	ENSG00000184154
MARVELD2	ENSG00000152939
MET	ENSG00000105976
MITF	ENSG00000187098
MPZL2	ENSG00000149573
MSRB3	ENSG00000174099
MYO15A	ENSG00000091536
MYO3A	ENSG00000095777
MYO6	ENSG00000196586
MYO7A	ENSG00000137474
NARS2	ENSG00000137513
NDP	ENSG00000124479
OPA1	ENSG00000198836
OTOA	ENSG00000155719
OTOF	ENSG00000115155
OTOG	ENSG00000188162
OTOGL	ENSG00000165899
PAX3	ENSG00000135903
PCDH15	ENSG00000150275
PDZD7	ENSG00000186862
PEX1	ENSG00000127980
PEX26	ENSG00000215193
PEX6	ENSG00000124587
DFNB59	ENSG00000204311
PNPT1	ENSG00000138035
POLR1C	ENSG00000171453
POU3F4	ENSG00000196767
PPIP5K2	ENSG00000145725
PRPS1	ENSG00000147224
PTPRQ	ENSG00000139304
RDX	ENSG00000137710
FAM65B	ENSG00000111913
ROR1	ENSG00000185483
S1PR2	ENSG00000267534
SERPINB6	ENSG00000124570
SLC22A4	ENSG00000197208
SLC26A4	ENSG00000091137
SLC26A5	ENSG00000170615
SMPX	ENSG00000091482
SNAI2	ENSG00000019549
SPATA5L1	ENSG00000171763
SPNS2	ENSG00000183018
STRC	ENSG00000242866
SYNE4	ENSG00000181392
TBC1D24	ENSG00000162065
TECTA	ENSG00000109927
TIMM8A	ENSG00000126953
TMC1	ENSG00000165091
TMEM132E	ENSG00000181291
TMIE	ENSG00000181585
TMPRSS3	ENSG00000160183
TMTC2	ENSG00000179104
TPRN	ENSG00000176058
TRIOBP	ENSG00000100106
TSPEAR	ENSG00000175894
TWNK	ENSG00000107815
USH1C	ENSG00000006611
USH1G	ENSG00000182040
USH2A	ENSG00000042781
WBP2	ENSG00000132471
WFS1	ENSG00000109501
WHRN	ENSG00000095397
